idx,control_type,name,automation_id,class_name,rect,depth
225,Button,,,,"(L0, T0, R0, B0)",7
226,Image,,leftpanel-closed,,"(L0, T0, R0, B0)",8
227,Button,DISPLAY,header-label,,"(L0, T0, R0, B0)",7
228,Group,DISPLAY,content,,"(L0, T0, R0, B0)",7
229,RadioButton,Open in new window,,,"(L0, T0, R0, B0)",8
230,Text,Open in new window,,,"(L0, T0, R0, B0)",9
231,RadioButton,Display inline,,,"(L0, T0, R0, B0)",8
232,Text,Display inline,,,"(L0, T0, R0, B0)",9
233,RadioButton,Display in reading pane,,,"(L0, T0, R0, B0)",8
234,Text,Display in reading pane,,,"(L0, T0, R0, B0)",9
235,CheckBox,Search bar,,,"(L0, T0, R0, B0)",8
236,Image,,tick,,"(L0, T0, R0, B0)",9
237,Text,Search bar,,,"(L0, T0, R0, B0)",9
238,CheckBox,Gridlines,,,"(L0, T0, R0, B0)",8
239,Image,,tick,,"(L0, T0, R0, B0)",9
240,Text,Gridlines,,,"(L0, T0, R0, B0)",9
241,CheckBox,Header Row,,,"(L0, T0, R0, B0)",8
242,Text,Header Row,,,"(L0, T0, R0, B0)",9
243,CheckBox,RIC previews ,,,"(L0, T0, R0, B0)",8
244,Text,RIC previews ,,,"(L0, T0, R0, B0)",9
245,Image,,info,,"(L0, T0, R0, B0)",9
246,CheckBox,Important news,,,"(L0, T0, R0, B0)",8
247,Text,Important news,,,"(L0, T0, R0, B0)",9
248,CheckBox,Time,,,"(L0, T0, R0, B0)",8
249,Image,,tick,,"(L0, T0, R0, B0)",9
250,Text,Time,,,"(L0, T0, R0, B0)",9
251,CheckBox,Source,,,"(L0, T0, R0, B0)",8
252,Text,Source,,,"(L0, T0, R0, B0)",9
253,CheckBox,RICs,,,"(L0, T0, R0, B0)",8
254,Text,RICs,,,"(L0, T0, R0, B0)",9
255,CheckBox,Sentiment,,,"(L0, T0, R0, B0)",8
256,Text,Sentiment,,,"(L0, T0, R0, B0)",9
257,Button,ROW LINES,header-label,,"(L0, T0, R0, B0)",7
258,Group,ROW LINES,content,,"(L0, T0, R0, B0)",7
259,RadioButton,Auto,,,"(L0, T0, R0, B0)",8
260,Text,Auto,,,"(L0, T0, R0, B0)",9
261,RadioButton,1 line,,,"(L0, T0, R0, B0)",8
262,Text,1 line,,,"(L0, T0, R0, B0)",9
263,RadioButton,2 lines,,,"(L0, T0, R0, B0)",8
264,Text,2 lines,,,"(L0, T0, R0, B0)",9
265,RadioButton,3 lines,,,"(L0, T0, R0, B0)",8
266,Text,3 lines,,,"(L0, T0, R0, B0)",9
267,RadioButton,Auto,,,"(L0, T0, R0, B0)",8
268,Text,Auto,,,"(L0, T0, R0, B0)",9
269,RadioButton,1 line,,,"(L0, T0, R0, B0)",8
